campaign_id,leads,pipeline
22222222-2222-2222-2222-222222222201,142,86000
22222222-2222-2222-2222-222222222202,0,0
22222222-2222-2222-2222-222222222203,58,41000
22222222-2222-2222-2222-222222222204,23,19000
22222222-2222-2222-2222-222222222205,0,0
22222222-2222-2222-2222-222222222206,19,14000
22222222-2222-2222-2222-222222222207,12,9000
22222222-2222-2222-2222-222222222208,31,22000
b4652d2b-becc-403c-93af-df1bb07bd956,0,0
28817bb9-4107-4367-b4a9-4446a40fc2ee,0,0
e4672e3d-73f0-4d19-8e33-079a81535e4f,0,0
5ceb8111-4326-4263-9af4-5ebf8e100138,0,0
71bf37b2-1930-44b3-9055-3661d6d1df5c,0,0
08808d1b-75b9-469a-935e-00da8b481ee4,0,0
23c3c1a8-1b61-4769-8e1e-661d97d4c365,0,0
303467a5-a7a4-42d9-b7e8-b6edc4ca1ba1,0,0
9f92b8f1-9358-4995-8704-4a78f495b8d8,0,0
0e666139-5cf3-4e4a-8261-23124b8c0315,0,0
2c42ca46-4e52-4264-a934-adbf09c28c4a,0,0
e2ef504b-b82c-47ad-895b-959d9a0a2e7d,0,0
a61aa7f0-3909-4323-81e1-ae1d9a8165fe,0,0
303b02b5-9acb-4585-ab1d-c5f6f6babe17,0,0
14c4d982-ea91-4b94-9a29-808fb14c61b9,0,0
60f92db8-4710-4e99-8e62-201b8ab4c2f9,0,0
799f9dd5-97a6-4196-8bbf-cd0f79fd213d,0,0
72ae2533-c0af-4787-944c-a3872a185aca,0,0
a93e3356-9a08-47b5-8412-d306b04b0e28,0,0
